x_curr,y_curr,x_prev,y_prev
3,1.59668,2,-7.08966
2.81618,-0.373224,3,1.59668
2.85101,-0.00645707,2.81618,-0.373224
2.85162,3.22289e-05,2.85101,-0.00645707
2.85162,-2.6506e-09,2.85162,3.22289e-05
1.85162,7.75444,0.851621,3.33856
0.0955873,0.314494,1.85162,7.75444
0.0213579,0.0707235,0.0955873,0.314494
-0.000177756,0.00223139,0.0213579,0.0707235
-0.00087936,1.71884e-05,-0.000177756,0.00223139
-0.000884806,4.25949e-09,-0.00087936,1.71884e-05
-1.00088,1.92454,-2.00088,0.730728
-2.61298,0.170747,-1.00088,1.92454
-2.76993,0.0558334,-2.61298,0.170747
-2.84619,0.00448284,-2.76993,0.0558334
-2.85285,0.000140185,-2.84619,0.00448284
-2.85306,3.75714e-07,-2.85285,0.000140185
-2.85306,3.16622e-11,-2.85306,3.75714e-07
-3.85306,0.40176,-4.85306,0.197346
-5.81849,0.0689098,-3.85306,0.40176
-6.22539,0.0357463,-5.81849,0.0689098
-6.66398,0.0122288,-6.22539,0.0357463
-6.89204,0.00434839,-6.66398,0.0122288
-7.01789,0.00110995,-6.89204,0.00434839
-7.06102,0.000167484,-7.01789,0.00110995
-7.06868,8.60584e-06,-7.06102,0.000167484
-7.0691,7.32916e-08,-7.06868,8.60584e-06
-7.0691,3.25658e-11,-7.0691,7.32916e-08
-8.0691,0.00370353,-9.0691,-0.00415163
-8.54058,-0.000984363,-8.0691,0.00370353
-8.44158,-0.000156487,-8.54058,-0.000984363
-8.42287,9.01163e-06,-8.44158,-0.000156487
-8.42388,-7.47154e-08,-8.42287,9.01163e-06
-8.42388,-3.51561e-11,-8.42388,-7.47154e-08
-9.42388,0.00525593,-10.4239,0.00267891
-11.4634,0.00108064,-9.42388,0.00525593
-11.9913,0.000610595,-11.4634,0.00108064
-12.677,0.000251095,-11.9913,0.000610595
-13.1559,0.000121661,-12.677,0.000251095
-13.6061,6.11477e-05,-13.1559,0.000121661
-14.061,3.89413e-05,-13.6061,6.11477e-05
-14.8587,4.63878e-05,-14.061,3.89413e-05
-9.88939,0.00391997,-14.8587,4.63878e-05
-14.9182,4.79109e-05,-9.88939,0.00391997
-14.9804,4.95395e-05,-14.9182,4.79109e-05
-13.0877,0.000135414,-14.9804,4.95395e-05
-16.0724,7.08992e-05,-13.0877,0.000135414
-19.3524,1.52781e-05,-16.0724,7.08992e-05
-20.2534,8.18474e-06,-19.3524,1.52781e-05
-21.293,8.5629e-06,-20.2534,8.18474e-06
2.24681,0.00805147,-21.293,8.5629e-06
-21.3181,8.62605e-06,2.24681,0.00805147
-21.3433,8.6907e-06,-21.3181,8.62605e-06
-17.9459,4.42354e-05,-21.3433,8.6907e-06
-22.174,1.07713e-05,-17.9459,4.42354e-05
-23.5349,1.0493e-05,-22.174,1.07713e-05
-74.8522,4.24548e-08,-23.5349,1.0493e-05
-75.0607,4.09674e-08,-74.8522,4.24548e-08
-80.8026,3.14763e-08,-75.0607,4.09674e-08
-99.8449,1.25885e-08,-80.8026,3.14763e-08
-112.536,7.53643e-09,-99.8449,1.25885e-08
-131.469,3.91414e-09,-112.536,7.53643e-09
-151.927,1.9608e-09,-131.469,3.91414e-09
-172.463,1.21659e-09,-151.927,1.9608e-09
-206.034,6.27384e-10,-172.463,1.21659e-09
-241.781,3.10786e-10,-206.034,6.27384e-10
-276.871,1.77539e-10,-241.781,3.10786e-10
-323.625,9.58194e-11,-276.871,1.77539e-10
-378.446,4.94795e-11,-323.625,9.58194e-11
-436.982,2.86172e-11,-378.446,4.94795e-11
-517.276,1.41493e-11,-436.982,2.86172e-11
-595.802,8.26846e-12,-517.276,1.41493e-11
-706.21,4.07492e-12,-595.802,8.26846e-12
-813.495,2.32247e-12,-706.21,4.07492e-12
-955.675,1.211e-12,-813.495,2.32247e-12
-1110.59,6.72604e-13,-955.675,1.211e-12
-1304.12,3.50809e-13,-1110.59,6.72604e-13
-1515.1,1.90781e-13,-1304.12,3.50809e-13
-1766.62,1.03066e-13,-1515.1,1.90781e-13
-2062.16,5.54575e-14,-1766.62,1.03066e-13
-2406.43,3.00173e-14,-2062.16,5.54575e-14
-2812.63,1.61123e-14,-2406.43,3.00173e-14
-3283.32,8.65485e-15,-2812.63,1.61123e-14
-3829.58,4.66801e-15,-3283.32,8.65485e-15
-4469.18,2.50991e-15,-3829.58,4.66801e-15
-5213.03,1.36045e-15,-4469.18,2.50991e-15
-6093.43,7.28343e-16,-5213.03,1.36045e-15
-7107.87,3.92084e-16,-6093.43,7.28343e-16
-8290.72,2.12066e-16,-7107.87,3.92084e-16
-9684.14,1.13765e-16,-8290.72,2.12066e-16
-11296.8,6.15067e-17,-9684.14,1.13765e-16
-13194.8,3.30262e-17,-11296.8,6.15067e-17
-15395.8,1.78062e-17,-13194.8,3.30262e-17
-17970.7,9.59257e-18,-15395.8,1.78062e-17
-20978,5.16979e-18,-17970.7,9.59257e-18
-24493.2,2.77923e-18,-20978,5.16979e-18
-28579.9,1.50004e-18,-24493.2,2.77923e-18
-33372.1,8.06409e-19,-28579.9,1.50004e-18
-38943.6,4.34901e-19,-33372.1,8.06409e-19
-45465.7,2.34079e-19,-38943.6,4.34901e-19
-53067.9,1.26121e-19,-45465.7,2.34079e-19
-61949.2,6.79162e-20,-53067.9,1.26121e-19
-72312.2,3.65843e-20,-61949.2,6.79162e-20
-84412.5,1.97014e-20,-72312.2,3.65843e-20
-98532.9,1.06107e-20,-84412.5,1.97014e-20
-115014,5.71525e-21,-98532.9,1.06107e-20
-134256,3.07828e-21,-115014,5.71525e-21
-156717,1.65787e-21,-134256,3.07828e-21
-182934,8.93071e-22,-156717,1.65787e-21
-213547,4.80892e-22,-182934,8.93071e-22
-249264,2.59059e-22,-213547,4.80892e-22
-290975,1.39506e-22,-249264,2.59059e-22
-339647,7.51465e-23,-290975,1.39506e-22
-396477,4.04702e-23,-339647,7.51465e-23
-462802,2.17984e-23,-396477,4.04702e-23
-540233,1.17407e-23,-462802,2.17984e-23
-630622,6.32321e-24,-540233,1.17407e-23
-736122,3.40571e-24,-630622,6.32321e-24
-859275,1.83435e-24,-736122,3.40571e-24
-1.00304e+06,9.87953e-25,-859275,1.83435e-24
-1.17085e+06,5.32111e-25,-1.00304e+06,9.87953e-25
-1.36674e+06,2.86592e-25,-1.17085e+06,5.32111e-25
-1.59539e+06,1.54359e-25,-1.36674e+06,2.86592e-25
-1.86231e+06,8.31368e-26,-1.59539e+06,1.54359e-25
-2.17388e+06,4.47777e-26,-1.86231e+06,8.31368e-26
-2.53758e+06,2.41168e-26,-2.17388e+06,4.47777e-26
-2.96212e+06,1.29894e-26,-2.53758e+06,2.41168e-26
-3.4577e+06,6.99603e-27,-2.96212e+06,1.29894e-26
-4.03619e+06,3.76803e-27,-3.4577e+06,6.99603e-27
-4.71146e+06,2.02945e-27,-4.03619e+06,3.76803e-27
-5.4997e+06,1.09306e-27,-4.71146e+06,2.02945e-27
-6.41983e+06,5.88718e-28,-5.4997e+06,1.09306e-27
-7.49388e+06,3.17083e-28,-6.41983e+06,5.88718e-28
-8.74765e+06,1.70779e-28,-7.49388e+06,3.17083e-28
-1.02112e+07,9.19815e-29,-8.74765e+06,1.70779e-28
-1.19195e+07,4.95409e-29,-1.02112e+07,9.19815e-29
-1.39137e+07,2.66826e-29,-1.19195e+07,4.95409e-29
-1.62415e+07,1.43712e-29,-1.39137e+07,2.66826e-29
-1.89588e+07,7.74028e-30,-1.62415e+07,1.43712e-29
-2.21307e+07,4.1689e-30,-1.89588e+07,7.74028e-30
-2.58332e+07,2.24536e-30,-2.21307e+07,4.1689e-30
-3.01552e+07,1.20934e-30,-2.58332e+07,2.24536e-30
-3.52003e+07,6.51349e-31,-3.01552e+07,1.20934e-30
-4.10895e+07,3.50815e-31,-3.52003e+07,6.51349e-31
-4.79639e+07,1.88948e-31,-4.10895e+07,3.50815e-31
-5.59885e+07,1.01767e-31,-4.79639e+07,1.88948e-31
-6.53556e+07,5.48113e-32,-5.59885e+07,1.01767e-31
-7.62898e+07,2.95212e-32,-6.53556e+07,5.48113e-32
-8.90534e+07,1.59e-32,-7.62898e+07,2.95212e-32
-1.03952e+08,8.56372e-33,-8.90534e+07,1.59e-32
-1.21344e+08,4.6124e-33,-1.03952e+08,8.56372e-33
-1.41645e+08,2.48422e-33,-1.21344e+08,4.6124e-33
-1.65343e+08,1.338e-33,-1.41645e+08,2.48422e-33
-1.93006e+08,7.20641e-34,-1.65343e+08,1.338e-33
-2.25296e+08,3.88135e-34,-1.93006e+08,7.20641e-34
-2.62989e+08,2.09049e-34,-2.25296e+08,3.88135e-34
-3.06989e+08,1.12593e-34,-2.62989e+08,2.09049e-34
-3.58349e+08,6.06423e-35,-3.06989e+08,1.12593e-34
-4.18302e+08,3.26618e-35,-3.58349e+08,6.06423e-35
-4.88286e+08,1.75915e-35,-4.18302e+08,3.26618e-35
-5.69978e+08,9.47475e-36,-4.88286e+08,1.75915e-35
-6.65337e+08,5.10308e-36,-5.69978e+08,9.47475e-36
-7.76651e+08,2.7485e-36,-6.65337e+08,5.10308e-36
-9.06588e+08,1.48034e-36,-7.76651e+08,2.7485e-36
-1.05826e+09,7.97305e-37,-9.06588e+08,1.48034e-36
-1.23532e+09,4.29426e-37,-1.05826e+09,7.97305e-37
-1.44199e+09,2.31288e-37,-1.23532e+09,4.29426e-37
-1.68324e+09,1.24571e-37,-1.44199e+09,2.31288e-37
-1.96485e+09,6.70936e-38,-1.68324e+09,1.24571e-37
-2.29358e+09,3.61364e-38,-1.96485e+09,6.70936e-38
-2.6773e+09,1.9463e-38,-2.29358e+09,3.61364e-38
-3.12523e+09,1.04827e-38,-2.6773e+09,1.9463e-38
